Date,Close
2000-01-03,50.99
2000-01-04,49.9
2000-01-05,51.64
2000-01-06,53.56
2000-01-07,50.22
2000-01-10,50.39
2000-01-11,54.19
2000-01-12,52.74
2000-01-13,50.43
2000-01-14,52.63
2000-01-17,50.79
2000-01-18,50.95
2000-01-19,52.54
2000-01-20,48.4
2000-01-21,48.94
2000-01-24,51.44
2000-01-25,50.7
2000-01-26,53.52
2000-01-27,51.24
2000-01-28,50.4
2000-01-31,56.32
2000-02-01,53.1
2000-02-02,53.85
2000-02-03,51.03
2000-02-04,52.95
2000-02-07,54.42
2000-02-08,52.06
2000-02-09,55.27
2000-02-10,53.48
2000-02-11,54.25
2000-02-14,53.79
2000-02-15,58.85
2000-02-16,55.27
2000-02-17,53.33
2000-02-18,57.25
2000-02-21,53.31
2000-02-22,56.32
2000-02-23,52.13
2000-02-24,53.54
2000-02-25,56.73
2000-02-28,57.96
2000-02-29,56.96
2000-03-01,56.53
2000-03-02,56.3
2000-03-03,54.08
2000-03-06,55.73
2000-03-07,56.38
2000-03-08,59.55
2000-03-09,58.25
2000-03-10,54.17
2000-03-13,58.47
2000-03-14,57.18
2000-03-15,56.72
2000-03-16,59.42
2000-03-17,60.37
2000-03-20,60.29
2000-03-21,56.87
2000-03-22,58.04
2000-03-23,59.43
2000-03-24,60.83
2000-03-27,58.03
2000-03-28,58.73
2000-03-29,56.99
2000-03-30,56.91
2000-03-31,61.03
2000-04-03,62.21
2000-04-04,59.45
2000-04-05,61.7
2000-04-06,60.51
2000-04-07,58.58
2000-04-10,60.68
2000-04-11,63.12
2000-04-12,60.06
2000-04-13,63.34
2000-04-14,55.05
2000-04-17,62.01
2000-04-18,60.61
2000-04-19,59.91
2000-04-20,60.76
2000-04-21,56.67
2000-04-24,60.27
2000-04-25,61.49
2000-04-26,63.79
2000-04-27,59.85
2000-04-28,59.33
2000-05-01,60.0
2000-05-02,62.88
2000-05-03,61.76
2000-05-04,60.08
2000-05-05,62.21
2000-05-08,61.42
2000-05-09,63.2
2000-05-10,59.9
2000-05-11,60.68
2000-05-12,60.58
2000-05-15,58.47
2000-05-16,62.01
2000-05-17,61.97
2000-05-18,61.48
2000-05-19,61.01
2000-05-22,58.67
2000-05-23,60.67
2000-05-24,60.84
2000-05-25,59.93
2000-05-26,61.22
2000-05-29,62.35
2000-05-30,65.32
2000-05-31,61.89
2000-06-01,62.06
2000-06-02,61.39
2000-06-05,57.69
2000-06-06,61.46
2000-06-07,61.62
2000-06-08,66.41
2000-06-09,61.08
2000-06-12,62.05
2000-06-13,61.36
2000-06-14,59.06
2000-06-15,63.66
2000-06-16,62.85
2000-06-19,62.89
2000-06-20,59.46
2000-06-21,64.04
2000-06-22,58.4
2000-06-23,62.33
2000-06-26,65.49
2000-06-27,59.09
2000-06-28,59.89
2000-06-29,61.17
2000-06-30,59.91
2000-07-03,57.76
2000-07-04,60.94
2000-07-05,58.62
2000-07-06,61.63
2000-07-07,58.78
2000-07-10,63.65
2000-07-11,58.92
2000-07-12,59.77
2000-07-13,61.97
2000-07-14,57.8
2000-07-17,60.64
2000-07-18,62.73
2000-07-19,56.82
2000-07-20,60.32
2000-07-21,60.38
2000-07-24,61.34
2000-07-25,57.22
2000-07-26,56.96
2000-07-27,60.55
2000-07-28,60.01
2000-07-31,59.82
2000-08-01,59.92
